#;Time;RL points;Agent name;Learning type;Won Episode;Episode time [s];Interest in enemy [%]
229;28.12.2021 00:35:41;-121,6206;Madox;Self play;Fail;185;31%
230;28.12.2021 00:35:41;-158,5223;Jack;Self play;Win;185;31%
231;28.12.2021 00:35:50;-52,86514;Madox;Self play;Win;54;100%
232;28.12.2021 00:35:50;-48,26527;Jack;Self play;Fail;54;100%
233;28.12.2021 00:36:07;-67,42693;Madox;Self play;Win;106;61%
234;28.12.2021 00:36:07;-95,82624;Jack;Self play;Fail;106;85%
235;28.12.2021 00:36:20;-110,3885;Madox;Self play;Fail;75;99%
236;28.12.2021 00:36:20;-57,7895;Jack;Self play;Win;75;99%
237;28.12.2021 00:36:37;-106,4203;Madox;Self play;Win;101;100%
238;28.12.2021 00:36:37;-101,9202;Jack;Self play;Fail;101;100%
239;28.12.2021 00:37:14;-190,1761;Madox;Self play;Fail;229;100%
240;28.12.2021 00:37:14;-194,3768;Jack;Self play;Win;229;23%
241;28.12.2021 00:37:27;-74,98173;Madox;Self play;Fail;68;100%
242;28.12.2021 00:37:27;-79,38171;Jack;Self play;Win;68;100%
243;28.12.2021 00:37:51;-175,9578;Madox;Self play;Fail;130;100%
244;28.12.2021 00:37:51;-141,856;Jack;Self play;Win;130;100%
245;28.12.2021 00:38:45;-268,3676;Madox;Self play;Draw;299;100%
246;28.12.2021 00:38:45;-286,7694;Jack;Self play;Draw;299;100%
247;28.12.2021 00:39:39;-212,161;Madox;Self play;Draw;300;100%
248;28.12.2021 00:39:39;-232,2624;Jack;Self play;Draw;300;100%
249;28.12.2021 00:40:39;-211,3609;Madox;Self play;Draw;300;100%
250;28.12.2021 00:40:39;-177,6589;Jack;Self play;Draw;300;100%
251;28.12.2021 00:41:19;-83,79655;Madox;Self play;Win;249;16%
252;28.12.2021 00:41:19;-94,69627;Jack;Self play;Fail;249;16%
253;28.12.2021 00:42:06;-153,0573;Madox;Self play;Draw;299;100%
254;28.12.2021 00:42:06;-149,2572;Jack;Self play;Draw;299;100%
255;28.12.2021 00:42:54;-111,7565;Madox;Self play;Draw;300;100%
256;28.12.2021 00:42:54;-166,4582;Jack;Self play;Draw;300;100%
257;28.12.2021 00:43:42;-416,6829;Madox;Self play;Draw;300;100%
258;28.12.2021 00:43:42;-145,8575;Jack;Self play;Draw;300;100%
259;28.12.2021 00:44:32;-470,49;Madox;Self play;Draw;300;100%
260;28.12.2021 00:44:32;-220,6618;Jack;Self play;Draw;300;100%
261;28.12.2021 00:45:28;-524,7882;Madox;Self play;Draw;300;99%
262;28.12.2021 00:45:28;-136,4568;Jack;Self play;Draw;300;25%
263;28.12.2021 00:46:27;-410,9832;Madox;Self play;Draw;300;6%
264;28.12.2021 00:46:27;-132,5562;Jack;Self play;Draw;300;99%
265;28.12.2021 00:47:22;-498,8936;Madox;Self play;Draw;300;99%
266;28.12.2021 00:47:22;-150,9574;Jack;Self play;Draw;300;100%
267;28.12.2021 00:48:16;-341,8693;Madox;Self play;Win;296;34%
268;28.12.2021 00:48:16;-103,8519;Jack;Self play;Fail;296;100%
269;28.12.2021 00:48:26;-103,3659;Madox;Self play;Fail;56;98%
270;28.12.2021 00:48:26;-26,86734;Jack;Self play;Win;56;98%
271;28.12.2021 00:48:28;-7,408597;Madox;Self play;Win;7;100%
272;28.12.2021 00:48:28;-6,508594;Jack;Self play;Fail;7;100%
273;28.12.2021 00:49:22;-423,8861;Madox;Self play;Draw;299;100%
274;28.12.2021 00:49:22;-107,0564;Jack;Self play;Draw;299;100%
275;28.12.2021 00:49:32;-18,06466;Madox;Self play;Win;53;100%
276;28.12.2021 00:49:32;-37,76454;Jack;Self play;Fail;53;100%
277;28.12.2021 00:49:45;-57,28036;Madox;Self play;Win;67;78%
278;28.12.2021 00:49:45;-47,78048;Jack;Self play;Fail;67;78%
279;28.12.2021 00:50:39;-141,6573;Madox;Self play;Draw;299;69%
280;28.12.2021 00:50:39;-182,2598;Jack;Self play;Draw;299;69%
281;28.12.2021 00:50:55;-43,51481;Madox;Self play;Win;95;98%
282;28.12.2021 00:50:55;-64,7142;Jack;Self play;Fail;95;100%
283;28.12.2021 00:51:11;-121,9134;Madox;Self play;Fail;95;100%
284;28.12.2021 00:51:11;-89,51395;Jack;Self play;Win;95;100%
285;28.12.2021 00:51:41;-64,32682;Madox;Self play;Win;190;12%
286;28.12.2021 00:51:41;-73,02643;Jack;Self play;Fail;190;12%
287;28.12.2021 00:52:36;-237,2627;Madox;Self play;Draw;299;100%
288;28.12.2021 00:52:36;-116,8561;Jack;Self play;Draw;299;100%
289;28.12.2021 00:52:52;-113,2002;Madox;Self play;Win;84;64%
290;28.12.2021 00:52:52;-41,30187;Jack;Self play;Fail;84;100%
291;28.12.2021 00:53:02;-76,36553;Madox;Self play;Win;55;78%
292;28.12.2021 00:53:02;-34,46651;Jack;Self play;Fail;55;100%
293;28.12.2021 00:53:16;-107,6829;Madox;Self play;Fail;70;100%
294;28.12.2021 00:53:16;-37,08432;Jack;Self play;Win;70;100%
295;28.12.2021 00:54:10;-295,9704;Madox;Self play;Draw;299;0%
296;28.12.2021 00:54:10;-80,95766;Jack;Self play;Draw;299;0%
297;28.12.2021 00:54:41;-240,3055;Madox;Self play;Win;167;38%
298;28.12.2021 00:54:41;-69,79967;Jack;Self play;Fail;167;98%
299;28.12.2021 00:55:34;-327,9739;Madox;Self play;Draw;299;0%
300;28.12.2021 00:55:34;-63,25834;Jack;Self play;Draw;299;0%
301;28.12.2021 00:56:26;-179,7591;Madox;Self play;Draw;300;6%
302;28.12.2021 00:56:26;-77,65753;Jack;Self play;Draw;300;99%
303;28.12.2021 00:57:20;-146,257;Madox;Self play;Draw;300;10%
304;28.12.2021 00:57:20;-69,95781;Jack;Self play;Draw;300;100%
305;28.12.2021 00:57:37;-145,5108;Madox;Self play;Win;93;99%
306;28.12.2021 00:57:37;-78,71091;Jack;Self play;Fail;93;100%
307;28.12.2021 00:58:36;-222,4615;Madox;Self play;Draw;299;100%
308;28.12.2021 00:58:36;-142,5568;Jack;Self play;Draw;299;100%
309;28.12.2021 00:59:28;-119,1569;Madox;Self play;Draw;300;0%
310;28.12.2021 00:59:28;-52,95867;Jack;Self play;Draw;300;0%
311;28.12.2021 01:00:13;-101,3986;Madox;Self play;Win;251;46%
