#;Time;RL points;Agent name;Learning type;Won episode;Episode iterations;Episode time [s];Interest in enemy [%]
178;12.01.2022 04:50:43;-61,237;Jack;Self play;Fail;1;204;27%
179;12.01.2022 04:51:27;-35,43766;Madox;Self play;Win;2;381;100%
180;12.01.2022 04:51:27;-71,70189;Jack;Self play;Fail;2;381;100%
181;12.01.2022 04:51:38;-31,96793;Madox;Self play;Fail;1;95;100%
182;12.01.2022 04:51:38;-33,89495;Jack;Self play;Win;1;95;100%
183;12.01.2022 04:51:48;-27,26303;Madox;Self play;Win;1;87;65%
184;12.01.2022 04:51:48;-27,62812;Jack;Self play;Fail;1;87;61%
185;12.01.2022 04:52:00;-20,55206;Madox;Self play;Win;1;98;100%
186;12.01.2022 04:52:00;-35,99002;Jack;Self play;Fail;1;98;100%
187;12.01.2022 04:53:59;-235,7064;Madox;Self play;Win;4;994;39%
188;12.01.2022 04:53:59;-283,4443;Jack;Self play;Fail;4;994;39%
189;12.01.2022 04:54:21;-39,84625;Madox;Self play;Win;1;197;42%
190;12.01.2022 04:54:21;-60,08443;Jack;Self play;Fail;1;197;100%
191;12.01.2022 04:54:27;-17,38016;Madox;Self play;Fail;1;48;100%
192;12.01.2022 04:54:27;-6,464427;Jack;Self play;Win;1;48;100%
193;12.01.2022 04:54:40;-23,88529;Madox;Self play;Fail;1;103;100%
194;12.01.2022 04:54:40;-21,15076;Jack;Self play;Win;1;103;100%
195;12.01.2022 04:54:41;-2,289996;Madox;Self play;Win;1;8;100%
196;12.01.2022 04:54:41;-7,125001;Jack;Self play;Fail;1;8;100%
197;12.01.2022 04:54:55;-33,57113;Madox;Self play;Fail;1;122;100%
198;12.01.2022 04:54:55;-34,4624;Jack;Self play;Win;1;122;100%
199;12.01.2022 04:56:48;-187,8179;Madox;Self play;Win;4;997;100%
200;12.01.2022 04:56:48;-167,6071;Jack;Self play;Fail;4;997;100%
201;12.01.2022 04:56:56;-24,42529;Madox;Self play;Fail;1;68;53%
202;12.01.2022 04:56:56;-19,39541;Jack;Self play;Win;1;68;53%
203;12.01.2022 04:57:06;-27,23637;Madox;Self play;Fail;1;95;100%
204;12.01.2022 04:57:06;-13,47604;Jack;Self play;Win;1;95;100%
205;12.01.2022 04:57:08;-3,170014;Madox;Self play;Win;1;19;100%
206;12.01.2022 04:57:08;-7,095032;Jack;Self play;Fail;1;19;100%
207;12.01.2022 04:57:23;-40,61708;Madox;Self play;Fail;1;109;69%
208;12.01.2022 04:57:23;-28,49288;Jack;Self play;Win;1;109;69%
209;12.01.2022 04:57:33;-17,49521;Madox;Self play;Fail;1;50;100%
210;12.01.2022 04:57:33;-8,29017;Jack;Self play;Win;1;50;100%
211;12.01.2022 04:57:39;-18,51498;Madox;Self play;Fail;1;58;96%
212;12.01.2022 04:57:39;-15,86062;Jack;Self play;Win;1;58;96%
213;12.01.2022 04:57:54;-27,27571;Madox;Self play;Win;1;128;99%
214;12.01.2022 04:57:54;-39,02494;Jack;Self play;Fail;1;128;99%
215;12.01.2022 04:57:59;-8,068961;Madox;Self play;Win;1;50;100%
216;12.01.2022 04:57:59;-19,17693;Jack;Self play;Fail;1;50;100%
217;12.01.2022 04:58:02;0,8040041;Madox;Self play;Win;1;16;100%
218;12.01.2022 04:58:02;-9,62257;Jack;Self play;Fail;1;16;100%
219;12.01.2022 04:58:12;-11,89844;Madox;Self play;Win;1;88;100%
220;12.01.2022 04:58:12;-28,58778;Jack;Self play;Fail;1;88;100%
221;12.01.2022 04:58:14;-9,535029;Madox;Self play;Fail;1;17;100%
222;12.01.2022 04:58:14;-3,560021;Jack;Self play;Win;1;17;100%
223;12.01.2022 04:58:28;-34,21736;Madox;Self play;Win;1;121;67%
224;12.01.2022 04:58:28;-38,8697;Jack;Self play;Fail;1;121;67%
225;12.01.2022 04:58:35;-3,690773;Madox;Self play;Win;1;63;100%
226;12.01.2022 04:58:35;-33,94536;Jack;Self play;Fail;1;63;100%
227;12.01.2022 04:58:46;-22,57549;Madox;Self play;Win;1;95;100%
228;12.01.2022 04:58:46;-32,99055;Jack;Self play;Fail;1;95;100%
229;12.01.2022 04:58:54;-21,75051;Madox;Self play;Win;1;75;99%
230;12.01.2022 04:58:54;-36,59912;Jack;Self play;Fail;1;75;100%
231;12.01.2022 04:59:07;-26,16775;Madox;Self play;Fail;1;109;100%
232;12.01.2022 04:59:07;-31,76808;Jack;Self play;Win;1;109;100%
233;12.01.2022 04:59:09;-2,514994;Madox;Self play;Win;1;13;100%
234;12.01.2022 04:59:09;-7,049036;Jack;Self play;Fail;1;13;100%
235;12.01.2022 04:59:56;-74,25074;Madox;Self play;Fail;2;395;28%
236;12.01.2022 04:59:56;-130,3778;Jack;Self play;Win;2;395;28%
237;12.01.2022 05:00:03;-17,31909;Madox;Self play;Win;1;62;100%
238;12.01.2022 05:00:03;-18,18994;Jack;Self play;Fail;1;62;100%
239;12.01.2022 05:00:22;-30,57478;Madox;Self play;Win;1;169;99%
240;12.01.2022 05:00:22;-38,49991;Jack;Self play;Fail;1;169;99%
241;12.01.2022 05:00:24;-10,13259;Madox;Self play;Fail;1;24;100%
242;12.01.2022 05:00:24;-8,415604;Jack;Self play;Win;1;24;100%
243;12.01.2022 05:01:03;-49,18692;Madox;Self play;Fail;2;337;21%
244;12.01.2022 05:01:03;-68,45621;Jack;Self play;Win;2;337;100%
245;12.01.2022 05:01:17;-37,32266;Madox;Self play;Fail;1;122;100%
246;12.01.2022 05:01:17;-27,37312;Jack;Self play;Win;1;122;100%
247;12.01.2022 05:01:53;-69,61487;Madox;Self play;Fail;1;262;15%
248;12.01.2022 05:01:53;-39,47393;Jack;Self play;Win;1;262;15%
249;12.01.2022 05:02:05;-27,56289;Madox;Self play;Fail;1;103;99%
250;12.01.2022 05:02:05;-30,30066;Jack;Self play;Win;1;103;99%
251;12.01.2022 05:02:42;-45,40445;Madox;Self play;Win;2;324;100%
252;12.01.2022 05:02:42;-49,97308;Jack;Self play;Fail;2;324;100%
253;12.01.2022 05:02:58;-24,16761;Madox;Self play;Win;1;136;100%
254;12.01.2022 05:02:58;-40,10496;Jack;Self play;Fail;1;136;100%
255;12.01.2022 05:03:41;-93,37315;Madox;Self play;Win;2;389;100%
256;12.01.2022 05:03:41;-54,04058;Jack;Self play;Fail;2;389;28%
257;12.01.2022 05:04:03;-45,11895;Madox;Self play;Fail;1;195;19%
258;12.01.2022 05:04:03;-44,9383;Jack;Self play;Win;1;195;19%
259;12.01.2022 05:04:09;-10,31776;Madox;Self play;Win;1;47;100%
260;12.01.2022 05:04:09;-15,35014;Jack;Self play;Fail;1;47;100%
261;12.01.2022 05:05:02;-94,68111;Madox;Self play;Win;2;456;76%
262;12.01.2022 05:05:02;-68,66756;Jack;Self play;Fail;2;456;76%
263;12.01.2022 05:06:58;-362,9442;Madox;Self play;Fail;4;988;31%
264;12.01.2022 05:06:58;-182,5888;Jack;Self play;Win;4;988;31%
265;12.01.2022 05:07:16;-72,39823;Madox;Self play;Fail;1;142;99%
266;12.01.2022 05:07:16;-35,77995;Jack;Self play;Win;1;142;99%
267;12.01.2022 05:07:30;-66,1585;Madox;Self play;Fail;1;129;48%
268;12.01.2022 05:07:30;-22,28037;Jack;Self play;Win;1;129;48%
269;12.01.2022 05:08:41;-127,5106;Madox;Self play;Win;3;640;53%
270;12.01.2022 05:08:41;-91,28182;Jack;Self play;Fail;3;640;53%
271;12.01.2022 05:08:50;-24,12351;Madox;Self play;Fail;1;76;100%
272;12.01.2022 05:08:50;-14,12283;Jack;Self play;Win;1;76;100%
273;12.01.2022 05:09:02;-34,99467;Madox;Self play;Win;1;108;66%
274;12.01.2022 05:09:02;-18,69518;Jack;Self play;Fail;1;108;66%
275;12.01.2022 05:09:12;-13,34525;Madox;Self play;Win;1;86;66%
276;12.01.2022 05:09:12;-20,12018;Jack;Self play;Fail;1;86;100%
277;12.01.2022 05:09:15;-2,808747;Madox;Self play;Win;1;21;100%
278;12.01.2022 05:09:15;-9,950093;Jack;Self play;Fail;1;21;100%
279;12.01.2022 05:09:33;-47,1406;Madox;Self play;Win;1;162;100%
280;12.01.2022 05:09:33;-34,93147;Jack;Self play;Fail;1;162;100%
281;12.01.2022 05:09:48;-33,13419;Madox;Self play;Fail;1;115;94%
